"","actor_id","region","actor_name","Total_Fatalities","Total_SV","cat4_prevalence_high"
"1",1160,"Africa","M23",32,6,2
"2",4226,"Africa","SPLM/A In Opposition",685,5,1
"3",426,"Africa","CNDP",157,3,2
"4",469,"Africa","SLM/A",63,1,0
"5",557,"Africa","MPIGO",65,1,0
"6",169,"Asia","CPP",34,0,3
"7",208,"Middle East","PIJ",93,0,1
"8",233,"Middle East","Ansar al-Islam",117,0,1
"9",304,"Asia","UIFSA",200,0,0
"10",310,"Middle East","Jondullah",25,0,0
"11",327,"Asia","GAM",243,0,1
"12",352,"Europe","Chechen Republic of Ichkeria",199,0,2
"13",367,"Europe","Forces of the Caucasus Emirate",138,0,1
"14",399,"Asia","Lashkar-e-Islam",29,0,0
"15",497,"Africa","ONLF",82,0,1
"16",508,"Africa","INPFL",84,0,3
"17",3967,"Africa","Kata Katanga",173,0,2
"18",4456,"Middle East","Syrian insurgents",732,0,1
"19",5826,"Asia","NDFB-S",135,0,1
